"month","year","MON.x","new.mean","MON.y","old.mean","diff","Date","pcent.diff"
1,"2080","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2080-01-00-000000-g01.h5",2.15792788367253e-05,"2080JAN.h5",2.14817225183182e-05,-9.75563184070881e-08,2080-01-15,-0.452083311704832
1,"2081","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2081-01-00-000000-g01.h5",1.47392602229957e-05,"2081JAN.h5",1.43721332665092e-05,-3.67126956486465e-07,2081-01-15,-2.49080992486778
1,"2082","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2082-01-00-000000-g01.h5",2.49568245180853e-07,"2082JAN.h5",0,-2.49568245180853e-07,2082-01-15,-100
1,"2083","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2083-01-00-000000-g01.h5",1.74616125150351e-05,"2083JAN.h5",1.74616132484986e-05,7.33463467641592e-13,2083-01-15,4.20043375637391e-06
1,"2084","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2084-01-00-000000-g01.h5",3.18001766572706e-05,"2084JAN.h5",3.18001785300474e-05,1.87277672753297e-12,2084-01-15,5.889202281395e-06
1,"2085","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2085-01-00-000000-g01.h5",1.72775780811207e-05,"2085JAN.h5",1.7277578315829e-05,2.3470830991636e-13,2085-01-15,1.35845608095764e-06
1,"2086","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2086-01-00-000000-g01.h5",9.48180513660191e-06,"2086JAN.h5",9.48180616222832e-06,1.02562641708756e-12,2086-01-15,1.08167843793083e-05
1,"2087","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2087-01-00-000000-g01.h5",2.46475719904993e-05,"2087JAN.h5",2.46475739757404e-05,1.98524112391698e-12,2087-01-15,8.05450988128342e-06
1,"2088","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2088-01-00-000000-g01.h5",2.07021075766534e-05,"2088JAN.h5",2.07021091560447e-05,1.57939133844345e-12,2088-01-15,7.62913308083313e-06
1,"2089","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2089-01-00-000000-g01.h5",1.88511312444462e-05,"2089JAN.h5",1.87521478872891e-05,-9.89833571571008e-08,2089-01-15,-0.52507913649088
1,"2090","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2090-01-00-000000-g01.h5",1.02027661341708e-05,"2090JAN.h5",1.02027654985025e-05,-6.35668340203841e-13,2090-01-15,-6.23035294466945e-06
1,"2091","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2091-01-00-000000-g01.h5",2.81010507023893e-05,"2091JAN.h5",2.81010494750605e-05,-1.22732887018078e-12,2091-01-15,-4.36755508426145e-06
1,"2092","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2092-01-00-000000-g01.h5",2.47926509473473e-05,"2092JAN.h5",2.47926546195544e-05,3.6722071035584e-12,2092-01-15,1.48116758857952e-05
1,"2093","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2093-01-00-000000-g01.h5",1.74522756424267e-05,"2093JAN.h5",1.74522754077184e-05,-2.3470830991636e-13,2093-01-15,-1.34485791392081e-06
1,"2094","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2094-01-00-000000-g01.h5",1.50810956256464e-05,"2094JAN.h5",1.50810966231567e-05,9.97510318838596e-13,2094-01-15,6.61430934467688e-06
1,"2095","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2095-01-00-000000-g01.h5",1.87645655387314e-05,"2095JAN.h5",1.87645664482261e-05,9.09494701772928e-13,2095-01-15,4.84687321389288e-06
1,"2096","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2096-01-00-000000-g01.h5",3.01285726891365e-05,"2096JAN.h5",3.01285744592283e-05,1.77009183813292e-12,2096-01-15,5.8751267628665e-06
1,"2097","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2097-01-00-000000-g01.h5",7.79392121330602e-06,"2097JAN.h5",7.76027427100319e-06,-3.36469423028357e-08,2097-01-15,-0.431707498471923
1,"2098","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2098-01-00-000000-g01.h5",3.28599999193102e-05,"2098JAN.h5",3.28600013642332e-05,1.4449230318638e-12,2098-01-15,4.39720948541833e-06
1,"2099","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2099-01-00-000000-g01.h5",3.34822834702209e-05,"2099JAN.h5",3.34490532940856e-05,-3.32301761352637e-08,2099-01-15,-0.0992470425884129
10,"2006","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2006-10-00-000000-g01.h5",1.69937429745914e-05,"2006OCT.h5",1.69937428914656e-05,-8.31258584914948e-14,2006-10-15,-4.89155671523633e-07
10,"2007","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2007-10-00-000000-g01.h5",3.09243478113785e-05,"2007OCT.h5",3.09666599668974e-05,4.23121555188515e-08,2007-10-15,0.136824730393448
10,"2008","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2008-10-00-000000-g01.h5",2.46424606302753e-05,"2008OCT.h5",2.46424635482375e-05,2.91796216705877e-12,2008-10-15,1.184119642339e-05
10,"2009","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2009-10-00-000000-g01.h5",7.0188852987485e-06,"2009OCT.h5",7.01888555301584e-06,2.54267335742723e-13,2009-10-15,3.62261705078026e-06
10,"2010","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2010-10-00-000000-g01.h5",1.98652196559124e-05,"2010OCT.h5",2.02242286631708e-05,3.59009007258455e-07,2010-10-15,1.80722394958066
10,"2011","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2011-10-00-000000-g01.h5",5.16738800797611e-05,"2011OCT.h5",5.19774225447309e-05,3.03542464969781e-07,2011-10-15,0.587419532849576
10,"2012","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2012-10-00-000000-g01.h5",5.96075005887542e-05,"2012OCT.h5",5.99935420473963e-05,3.86041458642142e-07,2012-10-15,0.647639063589556
10,"2013","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2013-10-00-000000-g01.h5",3.19130085699726e-05,"2013OCT.h5",3.188029327633e-05,-3.27152936425838e-08,2013-10-15,-0.102513975048302
10,"2014","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2014-10-00-000000-g01.h5",6.11390569247305e-05,"2014OCT.h5",6.18028529188255e-05,6.63795994094914e-07,2014-10-15,1.0857151344551
10,"2015","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2015-10-00-000000-g01.h5",2.97889309877064e-05,"2015OCT.h5",2.97889324864168e-05,1.49871035585092e-12,2015-10-15,5.03109816030189e-06
10,"2016","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2016-10-00-000000-g01.h5",2.42668957071146e-05,"2016OCT.h5",2.42668959577146e-05,2.50600020200225e-13,2016-10-15,1.0326826505036e-06
10,"2017","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2017-10-00-000000-g01.h5",1.89851089089643e-05,"2017OCT.h5",1.89851071645437e-05,-1.74442061747697e-12,2017-10-15,-9.18836244867549e-06
10,"2018","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2018-10-00-000000-g01.h5",1.4478094271908e-05,"2018OCT.h5",1.45571566657394e-05,7.90623938313417e-08,2018-10-15,0.546082877666754
10,"2019","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2019-10-00-000000-g01.h5",1.33135336000123e-05,"2019OCT.h5",1.33335906255485e-05,2.00570255362433e-08,2019-10-15,0.150651405846336
10,"2020","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2020-10-00-000000-g01.h5",4.74543012387585e-05,"2020OCT.h5",4.74542986838607e-05,-2.55489775386267e-12,2020-10-15,-5.38391186077902e-06
10,"2021","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2021-10-00-000000-g01.h5",3.37145065714139e-05,"2021OCT.h5",3.37145037035718e-05,-2.86784216708448e-12,2021-10-15,-8.50625578863173e-06
10,"2022","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2022-10-00-000000-g01.h5",4.14845017076004e-05,"2022OCT.h5",4.14845072917023e-05,5.58410187935596e-12,2022-10-15,1.34606941148974e-05
10,"2023","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2023-10-00-000000-g01.h5",1.75615186890354e-05,"2023OCT.h5",1.7561520786741e-05,2.09770552030098e-12,2023-10-15,1.19448981372727e-05
10,"2024","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2024-10-00-000000-g01.h5",1.96496475837193e-05,"2024OCT.h5",1.95639887389613e-05,-8.56588447580471e-08,2024-10-15,-0.435930692360198
10,"2025","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2025-10-00-000000-g01.h5",3.20709586958401e-05,"2025OCT.h5",3.20709542363822e-05,-4.45945789518711e-12,2025-10-15,-1.39049722180928e-05
10,"2026","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2026-10-00-000000-g01.h5",3.79190896637738e-05,"2026OCT.h5",3.72515743693321e-05,-6.67515294441718e-07,2026-10-15,-1.76036740428247
10,"2027","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2027-10-00-000000-g01.h5",5.81885360588785e-05,"2027OCT.h5",5.81885461632546e-05,1.01043761167397e-11,2027-10-15,1.73648914358893e-05
10,"2028","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2028-10-00-000000-g01.h5",6.83764374116436e-05,"2028OCT.h5",6.8376436519263e-05,-8.92380556927717e-13,2028-10-15,-1.30509951734581e-06
10,"2029","MortArb_All_ACCESS1-0_rcp45_statCO2_MgmtNone-E-2029-10-00-000000-g01.h5",5.0284834287595e-05,"2029OCT.h5",5.02848345858701e-05,2.98275144275557e-13,2029-10-15,5.93171178842056e-07
